"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"C00029","Uridine diphosphate glucose","HMDB0000286","8629","C00029","OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"C00147","Adenine","HMDB0000034","190","C00147","NC1=C2NC=NC2=NC=N1","1"
"C02305","Phosphocreatine","HMDB0001511","587","C02305","CN(CC(O)=O)C(=N)NP(O)(O)=O","1"
"C00570","CDP-ethanolamine","HMDB0001564","123727","C00570","NCCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O","1"
"C05526","S-Glutathionyl-L-cysteine","METPA0607",NA,"C05526",NA,"1"
"C00118","Glyceraldehyde 3-phosphate","HMDB0001112","439168","C00118","O[C@H](COP(O)(O)=O)C=O","1"
"C00946","Adenosine 2'-phosphate","HMDB0011617","53481006","C00946","NC1=NC=NC2=C1N=CN2C1O[C@H](CO)[C@@H](O)[C@H]1OP(O)(O)=O","1"
"C05282","gamma-Glutamylglutamic acid","HMDB0011737","92865","C05282","N[C@@H](CCC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O","1"
"C00055","Cytidine monophosphate","HMDB0000095","6131","C00055","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"C00864","Pantothenic acid","HMDB0000210","6613","C00864","CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O","1"
"C00103","Glucose 1-phosphate","HMDB0001586","65533","C00103","OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O","1"
