"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"C00550","2beta-Hydroxytestosterone","HMDB0012654","53481791","C00550","C[C@]12CCC3C(CCC4=CC(=O)[C@@H](O)C[C@]34C)C1CC[C@@H]2O","1"
"C00570","CDP-ethanolamine","HMDB0001564","123727","C00570","NCCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O","1"
"C00588","Phosphorylcholine","HMDB0001565","1014","C00588","C[N+](C)(C)CCOP(O)(O)=O","1"
"C00612","N1-Acetylspermidine","HMDB0001276","496","C00612","CC(=O)NCCCNCCCCN","1"
"C00670","Glycerophosphocholine","HMDB0000086","657272","C00670","C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)CO","1"
"C00836","Sphinganine","HMDB0000269","91486","C00836","CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO","1"
"C00864","Pantothenic acid","HMDB0000210","6613","C00864","CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O","1"
"C00946","Adenosine 2'-phosphate","HMDB0011617","53481006","C00946","NC1=NC=NC2=C1N=CN2C1O[C@H](CO)[C@@H](O)[C@H]1OP(O)(O)=O","1"
"C01586","Hippuric acid","HMDB0000714","464","C01586","OC(=O)CNC(=O)C1=CC=CC=C1","1"
"C02301","O-Acylcarnitine",NA,"5355","C02301",NA,"1"
"C02305","Phosphocreatine","HMDB0001511","587","C02305","CN(CC(O)=O)C(=N)NP(O)(O)=O","1"
"C02494","1-Methyladenosine","HMDB0003331","27476","C02494","CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N","1"
"C02567","N1-Acetylspermine","HMDB0001186","916","C02567","CC(=O)NCCCNCCCCNCCCN","1"
"C02571","L-Acetylcarnitine","HMDB0000201","7045767","C02571","CC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"C02862","Butyrylcarnitine","HMDB0002013","213144","C02862","CCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C","1"
"C02990","Palmitoylcarnitine","HMDB0000222","11953816","C02990","CCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"C03017","Propionylcarnitine","HMDB0000824","188824","C03017","CCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"C03546","D-myo-Inositol 4-phosphate","HMDB0001313","440043","C03546","O[C@@H]1[C@H](O)[C@H](O)[C@@H](OP(O)(O)=O)[C@H](O)[C@H]1O","1"
"C03794","Adenylsuccinic acid","HMDB0000536","447145","C03794","O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2N[C@@H](CC(O)=O)C(O)=O","1"
"C03889","NA","NA","NA","NA","NA","0"
"C04100","NA","NA","NA","NA","NA","0"
"C04230","CE(22:5(7Z,10Z,13Z,16Z,19Z))","HMDB0010375","24779458","C04230","CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C","1"
"C05282","gamma-Glutamylglutamic acid","HMDB0011737","92865","C05282","N[C@@H](CCC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O","1"
"C05382","D-Sedoheptulose 7-phosphate","HMDB0001068","92042786","C05382","OC[C@]1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O","1"
"C05526","S-Glutathionyl-L-cysteine","METPA0607",NA,"C05526",NA,"1"
"C05551","Penicillin G","HMDB0015186","5904","C05551","[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1)C(O)=O","1"
"C05635","5-Hydroxyindoleacetic acid","HMDB0000763","1826","C05635","OC(=O)CC1=CNC2=C1C=C(O)C=C2","1"
"C06525","Gentianine","HMDB0303030","354616","C06525","C=CC1=C2CCOC(=O)C2=CN=C1","1"
"C07005","Flunisolide","HMDB0014326","82153","C07005","[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO","1"
"C07471","Methacholine","HMDB0015654","1993","C07471","CC(C[N+](C)(C)C)OC(C)=O","1"
"C07968","Diethylcarbamazine","HMDB0014849","3052","C07968","CCN(CC)C(=O)N1CCN(C)CC1","1"
"C13916","Cer(d18:1/14:0)","HMDB0011773","5282310","C13916","CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO)NC(=O)CCCCCCCCCCCCC","1"
"C17925","Methylnoradrenaline","HMDB0002832","3917","C17925","CC(N)C(O)C1=CC(O)=C(O)C=C1","1"
"C19434","NA","NA","NA","NA","NA","0"
"C19463","1,5-Naphthalenediamine","HMDB0244231","16720","C19463","NC1=CC=CC2=C1C=CC=C2N","1"
"C20387","Biotin sulfone","HMDB0004818","21252323","C20387","[H][C@]12CS(=O)(=O)[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2","1"
"C21484","LysoPE(18:0/0:0)","HMDB0011130","9547068","C21484","[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCCCC)COP(O)(=O)OCCN","1"
