"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"beta-Alanine metabolism","21","8","1","1.6933","0.88853","1","1","51","0.51","1","1","1","P37","C00222"
"Taurine and hypotaurine metabolism","8","2","1","0.64508","0.42011","1","1","30","0.3","1","1","1","P38","C05844"
"Phosphonate and phosphinate metabolism","6","2","1","0.48381","0.42011","1","1","12","0.12","1","1","1","P39","C05673"
"Selenocompound metabolism","20","2","1","1.6127","0.42011","1","1","19","0.19","1","1","1","P40","C05699"
"Starch and sucrose metabolism","18","6","1","1.4514","0.80638","1","1","52","0.52","1","1","1","P41","C00029"
"Glycerolipid metabolism","16","6","1","1.2902","0.80638","1","1","75","0.75","1","1","1","P42","C00258"
"Ether lipid metabolism","20","2","1","1.6127","0.42011","1","1","38","0.38","1","1","1","P43","C01233"
"One carbon pool by folate","9","5","1","0.72571","0.74507","1","1","34","0.34","1","1","1","P44","C03479;C00234"
"Sulfur metabolism","8","3","1","0.64508","0.55881","1","1","19","0.19","1","1","1","P45","C00094"
"Drug metabolism - other enzymes","39","14","1","3.1448","0.97903","1","1","70","0.7","1","1","1","P46","C04242"
