"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Citrate cycle (TCA cycle)","16","8","1","1.5958","0.85722","1","1","58","0.58","1","1","1","P23","C00026;C00311;C00036;C00158"
"Fatty acid degradation","35","4","1","3.4909","0.62057","1","1","56","0.56","1","1","1","P24","C02990"
"Steroid biosynthesis","40","10","1","3.9896","0.91269","1","1","21","0.21","1","1","1","P25","C00448"
"Steroid hormone biosynthesis","87","23","1","8.6774","0.99661","1","1","65","0.65","1","1","1","P26","C11132"
"Arginine biosynthesis","14","8","1","1.3964","0.85722","1","1","75","0.75","1","1","1","P27","C00026"
"Caffeine metabolism","10","7","1","0.9974","0.81756","1","1","60","0.6","1","1","1","P28","C07481"
"Glycine, serine and threonine metabolism","30","16","1","2.9922","0.98029","1","1","80","0.8","1","1","1","P29","C00300"
"Valine, leucine and isoleucine degradation","35","12","1","3.4909","0.94672","1","1","69","0.69","1","1","1","P30","C06001"
"Arginine and proline metabolism","35","16","1","3.4909","0.98029","1","1","90","0.9","1","1","1","P31","C00300"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","1","0.39896","0.62057","1","1","58","0.58","1","1","1","P32","C01179"
"D-Amino acid metabolism","15","12","1","1.4961","0.94672","1","1","90","0.9","1","1","1","P33","C00036"
"Glutathione metabolism","19","10","1","1.8951","0.91269","1","1","84","0.84","1","1","1","P34","C00127"
"Ether lipid metabolism","2","2","1","0.19948","0.38339","1","1","55","0.55","1","1","1","P35","C01233"
"Pyruvate metabolism","20","9","1","1.9948","0.88832","1","1","76","0.76","1","1","1","P36","C00036"
"Glyoxylate and dicarboxylate metabolism","31","12","1","3.0919","0.94672","1","1","80","0.8","1","1","1","P37","C00036;C00311;C00158"
"Propanoate metabolism","19","8","1","1.8951","0.85722","1","1","61","0.61","1","1","1","P38","C05984"
"Pantothenate and CoA biosynthesis","18","9","1","1.7953","0.88832","1","1","89","0.89","1","1","1","P39","C01134"
"Lipoic acid metabolism","17","7","1","1.6956","0.81756","1","1","71","0.71","1","1","1","P40","C00026"
"Folate biosynthesis","26","9","1","2.5932","0.88832","1","1","64","0.64","1","1","1","P41","C00415"
"Terpenoid backbone biosynthesis","14","7","1","1.3964","0.81756","1","1","39","0.39","1","1","1","P42","C00448"
"Drug metabolism - cytochrome P450","43","15","1","4.2888","0.97471","1","1","84","0.84","1","1","1","P43","C16586"
